Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210618|100.00C,$SPX,100.00,+97.64%,"4,132.00","4,133.85","4,135.70","4,139.17",14.16,+0.34%,24,692,0.03,"1,068.83%",Call,4,06/18/21,06/11/21,12.18%,7.33%
$SPX|20210618|200.00C,$SPX,200.00,+95.28%,"4,032.00","4,033.80","4,035.60","3,943.96",-25.54,-0.64%,1,107,0.01,783.49%,Call,4,06/18/21,04/20/21,12.18%,7.33%
$SPX|20210618|300.00C,$SPX,300.00,+92.92%,"3,932.00","3,933.90","3,935.80","3,855.72",14.17,+0.37%,1,9,0.11,770.80%,Call,4,06/18/21,05/21/21,12.18%,7.33%
$SPX|20210618|400.00C,$SPX,400.00,+90.55%,"3,832.00","3,833.85","3,835.70","3,769.28",231.51,+6.54%,2,3,0.67,656.97%,Call,4,06/18/21,04/16/21,12.18%,7.33%
$SPX|20210618|500.00C,$SPX,500.00,+88.19%,"3,732.00","3,733.85","3,735.70","3,641.56",434.43,+13.55%,5,75,0.07,593.52%,Call,4,06/18/21,05/04/21,12.18%,7.33%
$SPX|20210618|600.00C,$SPX,600.00,+85.83%,"3,632.00","3,633.80","3,635.60","3,588.96",43.37,+1.22%,1,2,0.50,492.01%,Call,4,06/18/21,05/26/21,12.18%,7.33%
$SPX|20210618|700.00C,$SPX,700.00,+83.47%,"3,532.20","3,534.00","3,535.80","3,445.69",-22.75,-0.66%,1,8,0.13,546.20%,Call,4,06/18/21,05/06/21,12.18%,7.33%
$SPX|20210618|800.00C,$SPX,800.00,+81.11%,"3,432.20","3,434.00","3,435.80","3,432.09",79.06,+2.36%,2,2,1.00,505.76%,Call,4,06/18/21,06/09/21,12.18%,7.33%
$SPX|20210618|900.00C,$SPX,900.00,+78.75%,"3,332.10","3,333.90","3,335.70",0.00,0.00,unch,0,0,0.00,447.72%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1000.00C,$SPX,"1,000.00",+76.39%,"3,232.10","3,233.90","3,235.70","3,236.82",11.82,+0.37%,151,"66,240",0.00,417.53%,Call,4,06/18/21,06/10/21,12.18%,7.33%
$SPX|20210618|1100.00C,$SPX,"1,100.00",+74.02%,"3,132.10","3,133.85","3,135.60","3,139.24",82.69,+2.71%,26,295,0.09,373.88%,Call,4,06/18/21,06/11/21,12.18%,7.33%
$SPX|20210618|1200.00C,$SPX,"1,200.00",+71.66%,"3,032.10","3,033.80","3,035.50","3,032.48",0.13,unch,71,180,0.39,312.75%,Call,4,06/18/21,06/11/21,12.18%,7.33%
$SPX|20210618|1225.00C,$SPX,"1,225.00",+71.07%,"3,007.10","3,009.00","3,010.90","1,063.50","1,063.50",unch,0,10,0.00,378.11%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1250.00C,$SPX,"1,250.00",+70.48%,"2,982.10","2,984.00","2,985.90",0.00,0.00,unch,0,0,0.00,372.10%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1275.00C,$SPX,"1,275.00",+69.89%,"2,957.10","2,958.80","2,960.50",0.00,0.00,unch,0,0,0.00,297.15%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|1300.00C,$SPX,"1,300.00",+69.30%,"2,932.10","2,934.10","2,936.10","2,939.71",4.25,+0.14%,5,500,0.01,372.30%,Call,4,06/18/21,"11:08 ET",12.18%,7.33%
