Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
100.00,+97.65%,"4,149.30","4,151.35","4,153.40","4,134.10",-1.19,-0.03%,1,230,0.00,485.89%,Call,06/14/21
300.00,+92.95%,"3,949.40","3,951.45","3,953.50","3,936.81",11.14,+0.28%,1,2,0.50,335.35%,Call,06/11/21
500.00,+88.25%,"3,749.50","3,751.55","3,753.60","3,736.91","3,736.91",unch,1,1,1.00,270.79%,Call,06/11/21
700.00,+83.55%,"3,549.60","3,551.65","3,553.70",0.00,0.00,unch,0,0,0.00,229.59%,Call,N/A
900.00,+78.85%,"3,349.60","3,351.65","3,353.70","3,296.45","3,296.45",unch,31,31,1.00,197.82%,Call,06/02/21
"1,000.00",+76.50%,"3,249.70","3,251.75","3,253.80","3,222.65",52.10,+1.64%,"3,100","6,550",0.47,186.01%,Call,06/09/21
"1,100.00",+74.15%,"3,149.70","3,151.75","3,153.80","3,134.55",-1.16,-0.04%,1,98,0.01,174.05%,Call,06/14/21
"1,200.00",+71.80%,"3,049.80","3,051.85","3,053.90","3,015.55","3,015.55",unch,1,1,1.00,164.34%,Call,06/07/21
"1,300.00",+69.45%,"2,949.80","2,951.85","2,953.90",0.00,0.00,unch,0,0,0.00,154.30%,Call,N/A
"1,400.00",+67.10%,"2,849.90","2,851.95","2,854.00",0.00,0.00,unch,0,0,0.00,146.01%,Call,N/A
"1,500.00",+64.75%,"2,749.90","2,751.95","2,754.00","2,726.30",1.80,+0.07%,8,444,0.02,137.35%,Call,06/09/21
"1,600.00",+62.40%,"2,650.00","2,652.05","2,654.10",0.00,0.00,unch,0,0,0.00,130.10%,Call,N/A
"1,700.00",+60.05%,"2,550.00","2,552.05","2,554.10",0.00,0.00,unch,0,0,0.00,122.45%,Call,N/A
"1,800.00",+57.70%,"2,450.10","2,452.15","2,454.20",0.00,0.00,unch,0,0,0.00,115.98%,Call,N/A
"1,900.00",+55.35%,"2,350.20","2,352.25","2,354.30",0.00,0.00,unch,0,0,0.00,109.79%,Call,N/A
"1,950.00",+54.17%,"2,300.20","2,302.25","2,304.30",0.00,0.00,unch,0,0,0.00,106.48%,Call,N/A
"2,000.00",+53.00%,"2,250.20","2,252.25","2,254.30","2,223.30",3.30,+0.15%,"3,100","17,318",0.18,103.26%,Call,06/09/21
"2,050.00",+51.82%,"2,200.30","2,202.35","2,204.40",0.00,0.00,unch,0,0,0.00,100.70%,Call,N/A
"2,100.00",+50.65%,"2,150.30","2,152.35","2,154.40",0.00,0.00,unch,0,0,0.00,97.61%,Call,N/A
"2,150.00",+49.47%,"2,100.40","2,102.45","2,104.50",0.00,0.00,unch,0,0,0.00,95.13%,Call,N/A
"2,200.00",+48.30%,"2,050.40","2,052.45","2,054.50","1,586.89","1,586.89",unch,1,1,1.00,92.16%,Call,01/19/21
"2,250.00",+47.12%,"2,000.50","2,002.55","2,004.60",0.00,0.00,unch,0,0,0.00,89.76%,Call,N/A
"2,300.00",+45.95%,"1,950.50","1,952.55","1,954.60",0.00,0.00,unch,0,0,0.00,86.90%,Call,N/A
"2,350.00",+44.77%,"1,900.60","1,902.65","1,904.70",0.00,0.00,unch,0,0,0.00,84.56%,Call,N/A
"2,400.00",+43.60%,"1,850.60","1,852.65","1,854.70",0.00,0.00,unch,0,0,0.00,81.81%,Call,N/A
"2,450.00",+42.42%,"1,800.70","1,802.75","1,804.80",0.00,0.00,unch,0,0,0.00,79.53%,Call,N/A
"2,500.00",+41.25%,"1,750.80","1,752.85","1,754.90","1,621.91","1,621.91",unch,10,10,1.00,77.26%,Call,04/20/21
"2,550.00",+40.07%,"1,700.90","1,702.95","1,705.00",0.00,0.00,unch,0,0,0.00,75.01%,Call,N/A
"2,600.00",+38.90%,"1,650.90","1,652.95","1,655.00",0.00,0.00,unch,0,0,0.00,72.43%,Call,N/A
"2,610.00",+38.66%,"1,641.00","1,643.05","1,645.10",0.00,0.00,unch,0,0,0.00,72.26%,Call,N/A
"2,620.00",+38.43%,"1,631.00","1,633.05","1,635.10",0.00,0.00,unch,0,0,0.00,71.75%,Call,N/A
"2,625.00",+38.31%,"1,626.00","1,628.05","1,630.10",0.00,0.00,unch,0,0,0.00,71.50%,Call,N/A
"2,630.00",+38.19%,"1,621.00","1,623.05","1,625.10",0.00,0.00,unch,0,0,0.00,71.24%,Call,N/A
"2,640.00",+37.96%,"1,611.00","1,613.05","1,615.10",0.00,0.00,unch,0,0,0.00,70.73%,Call,N/A
